,,Unique,Unique-values,use case from drugbank,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefepime hydrochloride,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefixime,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefmetazole sodium salt,,,,,
Cefoperazone,,,,,
Cefoperazone,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Cefoperazone dihydrate,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Ceforanide,,,,,
Cefotaxime,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotaxime sodium salt,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotetan,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefotiam hydrochloride,,,,,
Cefoxitin,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefoxitin sodium salt,,,,,
Cefpodoxime Proxetil,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Cefsulodin sodium salt,,,,,
Ceftaroline,,,,,
Ceftaroline/avibactam,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime pentahydrate,,,,,
Ceftazidime/avibactam,,,,,
Ceftibuten,,,,,
Ceftriaxone,,,,,
Cefuroxime,,,,,
Cefuroxime axetil,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
Cefuroxime sodium salt,,,,,
"Cephalosporanic acid, 7-amino",,,,,
"Cephalosporanic acid, 7-amino",,,,,
"Cephalosporanic acid, 7-amino",,,,,
"Cephalosporanic acid, 7-amino",,,,,
"Cephalosporanic acid, 7-amino",,,,,
"Cephalosporanic acid, 7-amino",,,,,
"Cephalosporanic acid, 7-amino",,,,,
"Cephalosporanic acid, 7-amino",,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephalothin sodium salt,,,,,
Cephazolin,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Cetirizine,,,,,
Chlorcyclizine hydrochloride,,,,,
Chlormezanone,,,,,
Chlormezanone,,,,,
Chlormezanone,,,,,
Chlormezanone,,,,,
Chlormezanone,,,,,
Chlormezanone,,,,,
Chlorotrianisene,,,,,
Chlorotrianisene,,,,,
Chlorotrianisene,,,,,
Chlorotrianisene,,,,,
Chlorotrianisene,,,,,
Chlorotrianisene,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chloroxine,,,,,
Chlorpheniramine maleate,,,,,
Chlorpromazine hydrochloride,,,,,
Chlorpromazine hydrochloride,,,,,
Chlorpromazine hydrochloride,,,,,
Chlorpromazine hydrochloride,,,,,
Chlorpromazine hydrochloride,,,,,
Chlorpromazine hydrochloride,,,,,
Chlorprothixene hydrochloride,,,,,
Chlorprothixene hydrochloride,,,,,
Chlorprothixene hydrochloride,,,,,
Chlorprothixene hydrochloride,,,,,
Chlorprothixene hydrochloride,,,,,
Chlorprothixene hydrochloride,,,,,
Chlorprothixene hydrochloride,,,,,
Chlorprothixene hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Chlortetracycline hydrochloride,,,,,
Cilnidipine,,,,,
Cilnidipine,,,,,
Cilnidipine,,,,,
Cilnidipine,,,,,
Cilnidipine,,,,,
Cimetidine,,,,,
Cimetidine,,,,,
Cimetidine,,,,,
Cimetidine,,,,,
Cimetidine,,,,,
Cimetidine,,,,,
Cinnarizine,,,,,
Cinnarizine,,,,,
Cinnarizine,,,,,
Cinoxacin,,,,,
Cinoxacin,,,,,
Cinoxacin,,,,,
Cinoxacin,,,,,
Ciprofloxacin,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Ciprofloxacin hydrochloride monohydrate,,,,,
Cladribine,,,,,
Cladribine,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin,,,,,
Clarithromycin plus metronidazole,,,,,
Clarithromycin plus metronidazole,,,,,
Clavulanate potassium salt,,,,,
Clavulanate potassium salt,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemastine fumarate,,,,,
Clemizole,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clemizole hydrochloride,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clinafloxacin,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clindamycin hydrochloride,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clioquinol,,,,,
Clofarabine,,,,,
Clofarabine,,,,,
Clofilium tosylate,,,,,
Clofilium tosylate,,,,,
Clofilium tosylate,,,,,
Clofilium tosylate,,,,,
"Clomiphene citrate (Z,E)",,,,,
"Clomiphene citrate (Z,E)",,,,,
"Clomiphene citrate (Z,E)",,,,,
"Clomiphene citrate (Z,E)",,,,,
"Clomiphene citrate (Z,E)",,,,,
"Clomiphene citrate (Z,E)",,,,,
"Clomiphene citrate (Z,E)",,,,,
"Clomiphene citrate (Z,E)",,,,,
"Clomiphene citrate (Z,E)",,,,,
"Clomiphene citrate (Z,E)",,,,,
"Clomiphene citrate (Z,E)",,,,,
"Clomiphene citrate (Z,E)",,,,,
Clomipramine hydrochloride,,,,,
Clonidine,,,,,
Clonidine,,,,,
Clonidine,,,,,
Clonidine,,,,,
Clonidine,,,,,
Clonidine,,,,,
Clonidine,,,,,
Clonidine,,,,,
Clonidine,,,,,
Clonidine,,,,,
Clonidine,,,,,
Clonidine,,,,,
Clonidine,,,,,
Clonidine,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Clopidogrel sulfate,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Closantel,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
